progress_id,scope_type,scope_value,entity_count,pending_count,approved_count,rejected_count,unreviewed_decision_count,approved_decision_count,rejected_decision_count,needs_source_decision_count,needs_semantic_review_decision_count,ready_to_apply_count,manual_followup_count,blocked_by_llm_count,no_op_count,completion_percent,needs_llm_count,next_step,generated_by
human_review_progress_entity_type_anomalytype,entity_type,AnomalyType,8,0,8,0,0,8,0,0,0,8,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_bgpconcept,entity_type,BGPConcept,31,0,31,0,0,31,0,0,0,31,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_case,entity_type,Case,5,4,1,0,0,1,0,4,0,1,4,0,0,20.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_datafield,entity_type,DataField,32,0,32,0,0,32,0,0,0,32,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_datasource,entity_type,DataSource,9,0,9,0,0,9,0,0,0,9,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_evidencetemplate,entity_type,EvidenceTemplate,8,0,8,0,0,8,0,0,0,8,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_falsepositivepattern,entity_type,FalsePositivePattern,4,0,4,0,0,4,0,0,0,4,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_papermethod,entity_type,PaperMethod,3,1,2,0,0,2,0,0,1,2,0,1,0,66.67,1,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_entity_type_routingmechanism,entity_type,RoutingMechanism,12,0,12,0,0,12,0,0,0,12,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_overall_all,overall,all,112,5,107,0,0,107,0,4,1,107,4,1,0,95.54,1,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_review_batch_01_ready_without_manual_note,review_batch,01_ready_without_manual_note,34,0,34,0,0,34,0,0,0,34,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_review_batch_02_ready_with_manual_note,review_batch,02_ready_with_manual_note,78,5,73,0,0,73,0,4,1,73,4,1,0,93.59,1,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_review_bucket_ready_with_manual_note,review_bucket,ready_with_manual_note,78,5,73,0,0,73,0,4,1,73,4,1,0,93.59,1,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
human_review_progress_review_bucket_ready_without_manual_note,review_bucket,ready_without_manual_note,34,0,34,0,0,34,0,0,0,34,0,0,0,100.0,0,运行 scripts/apply_human_review_decisions.py 显式应用已审计通过的 approved/rejected 决策。,scripts/build_human_review_progress.py
