session_status_id,session_id,session_order,item_count,awaiting_human_review_count,ready_to_apply_count,manual_followup_count,blocked_by_llm_count,unreviewed_decision_count,approved_decision_count,rejected_decision_count,needs_source_decision_count,needs_semantic_review_decision_count,completion_percent,next_entity_id,next_display_name,decision_input_path,needs_llm_count,generated_by
review_session_001_status,review_session_001,1,10,0,10,0,0,0,10,0,0,0,100.0,field_aggregator,aggregator,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_002_status,review_session_002,2,10,0,10,0,0,0,10,0,0,0,100.0,field_bgp_identifier,bgp_identifier,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_003_status,review_session_003,3,10,0,10,0,0,0,10,0,0,0,100.0,field_nlri,nlri,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_004_status,review_session_004,4,10,0,10,0,0,0,10,0,0,0,100.0,field_vrp_asn,vrp_asn,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_005_status,review_session_005,5,10,0,10,0,0,0,10,0,0,0,100.0,evidence_prefix_outage,anomaly_prefix_outage,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_006_status,review_session_006,6,10,0,9,0,1,0,9,0,0,1,90.0,concept_asn,ASN,review_inputs/human_review_decisions.csv,1,scripts/build_human_review_session_status.py
review_session_007_status,review_session_007,7,10,0,7,3,0,0,7,0,3,0,70.0,datasource_caida_as_relationships,CAIDA AS Relationships,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_008_status,review_session_008,8,10,0,9,1,0,0,9,0,1,0,90.0,paper_method_beam,Learning with Semantics / BEAM,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_009_status,review_session_009,9,10,0,10,0,0,0,10,0,0,0,100.0,anomaly_path_manipulation,Path Manipulation,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_010_status,review_session_010,10,10,0,10,0,0,0,10,0,0,0,100.0,datasource_ripe_ris,RIPE RIS,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_011_status,review_session_011,11,10,0,10,0,0,0,10,0,0,0,100.0,datasource_rpki_roa,RPKI / ROA,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
review_session_012_status,review_session_012,12,2,0,2,0,0,0,2,0,0,0,100.0,concept_whois_rdap,WHOIS / RDAP,review_inputs/human_review_decisions.csv,0,scripts/build_human_review_session_status.py
